No.,Name,OldName,EnglishName,ShortName,Code,Type,IsFinanciallyAutonomous,ImageUrl
1,"Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Thành phố Hồ Chí Minh",,VNUHCM-University of Science,HCMUS,QST,0,,/universities-logo/hcmus.png
2,"Trường Đại học Bách Khoa, Đại học Quốc gia Thành phố Hồ Chí Minh ",,Ho Chi Minh City University of Technology,HCMUT,QSB,0,,/universities-logo/hcmut.png
3,"Trường Đại học Công nghệ Thông tin, Đại học Quốc gia Thành phố Hồ Chí Minh",,University of Information Technology,UIT,QSC,0,,/universities-logo/uit.svg
4,"Trường Đại học Quốc tế, Đại học Quốc gia Thành phố Hồ Chí Minh",,VNU-HCM International University,HCMIU,QSQ,0,,/universities-logo/iu.png
5,"Trường Đại học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh",,"University of Social Sciences and Humanities, Vietnam National University Ho Chi Minh City",HCMUSSH,QSX,0,,/universities-logo/ussh.png
6,"Trường Đại học Kinh tế - Luật, Đại học Quốc gia Thành phố Hồ Chí Minh",,VNU-HCM University of Economics and Law,UEL,QSK,0,,/universities-logo/uel.png
7,Trường Đại học Khoa học Sức khỏe,Khoa Y - Đại học Quốc gia Thành phố Hồ Chí Minh,"University of Health Sciences, Viet Nam National University Ho Chi Minh City",QSY,QSY,0,,/universities-logo/uhs.svg
8,Học viện Kỹ thuật Mật mã ,,Vietnam Academy of Cryptography Techniques,KMA,KMA,0,,/universities-logo/kma.png
9,Trường Đại học Giao thông Vận tải TPHCM,,Ho Chi Minh City University of Transport,UTH,GTS,0,,/universities-logo/uth.png
10,Phân hiệu trường ĐH GTVT tại TP.Hồ Chí Minh,,University of Transport and Communications - Campus in Ho Chi Minh City ,UTC2,GSA,0,,/universities-logo/utc.png
11,Trường Đại học Gia Định,,Gia Dinh University,GDU,GDU,1,1,/universities-logo/gdu.png
12,Trường Đại Học Công nghệ Kỹ Thuật TP. HCM,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh ,Ho Chi Minh City University of Technology and Engineering,HCMUTE,UTE,0,,/universities-logo/hcmus.png
13,Học viện Hành chính và Quản trị Công Phân hiệu TPHCM,,Academy of Public Administration and Governance - Ho Chi Minh City Campus,APAG,HCH,0,,/universities-logo/apag.jpg
14,Trường Đại học Công Thương Thành phố Hồ Chí Minh,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh,Ho Chi Minh City University of Industry and Trade,HUIT,DCT,0,,/universities-logo/huit.png
15,Trường Đại học Công nghiệp TP.HCM,,Industrial University of Ho Chi Minh City,IUH,IUH,0,,/universities-logo/iuh.png
16,Trường Đại học Hoa Sen,,Hoa Sen University,HSU,HSU,0,,/universities-logo/hsu.webp
17,Trường Đại học Hùng Vương TP.HCM,,Hung Vuong University of Ho Chi Minh City,DHV,DHV,1,1,/universities-logo/dhv.png
18,Trường Đại học Lao động – Xã hội (Cơ sở 2),,University of Labour Social Affairs 2),ULSA2,DLS,0,,/universities-logo/ulsa2.jpg
19,Trường Đại học Luật Thành phố Hồ Chí Minh,,Ho Chi Minh City University of Law,ULAW,LPS,0,,/universities-logo/ulaw.webp
20,Học viện Công nghệ Bưu chính Viễn thông (cơ sở 2) ,,Posts and Telecommunications Institute of Technology,PTIT,BVS,0,,/universities-logo/ptit.jpg
21,Trường Đại học Ngân hàng TPHCM,,Ho Chi Minh University of Banking,HUB,NHS,0,,/universities-logo/hub.jpg
22,Trường Đại học Công nghệ Sài Gòn,,Saigon Technology University,STU,DSG,1,1,/universities-logo/stu.png
23,Trường Đại học Tôn Đức Thắng,,Ton Duc Thang University,TDTU,DTT,0,,/universities-logo/tdtu.png
