System,Year,UniCodes,Rank,SourceUrl
QS,2026,DTT,684,https://www.topuniversities.com/world-university-rankings?countries=vn
QS,2026,"QSB, QST, QSX, QSK, QSQ, QSC, QSY",801-850,https://www.topuniversities.com/world-university-rankings?countries=vn
QS,2026,DVL,1001-1200,https://www.topuniversities.com/world-university-rankings?countries=vn
QS,2026,IUH,1201-1400,https://www.topuniversities.com/world-university-rankings?countries=vn
CWUR,2026,DTT,1046,https://cwur.org/2026.php
CWUR,2026,"QSB, QST, QSX, QSK, QSQ, QSC, QSY",1367,https://cwur.org/2026.php
THE,2026,KSA,501-600,https://www.timeshighereducation.com/world-university-rankings/latest/world-ranking
THE,2026,DTT,601-800,https://www.timeshighereducation.com/world-university-rankings/latest/world-ranking
THE,2026,NTT,1001-1200,https://www.timeshighereducation.com/world-university-rankings/latest/world-ranking
THE,2026,MBS,1201-1500,https://www.timeshighereducation.com/world-university-rankings/latest/world-ranking
THE,2026,"QSB, QST, QSX, QSK, QSQ, QSC, QSY",1501+,https://www.timeshighereducation.com/world-university-rankings/latest/world-ranking
VNUR,2026,"QSB, QST, QSX, QSK, QSQ, QSC, QSY",2,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,KSA,4,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,DTT,5,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,IUH,12,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,NTT,16,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,DVL,21,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,SPS,28,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,MBS,31,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,DKC,33,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,UTE,38,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,NHS,40,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,LPS,41,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,YDS,49,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,SGD,56,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,TDM,58,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,HHK,59,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,TYS,75,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,DCT,78,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,TDS,80,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,DVH,82,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,HSU,87,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,HIU,90,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,KTS,93,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,DKB,97,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
VNUR,2026,MTS,98,https://vnur.vn/bang-xep-hang-top-100-truong-dai-hoc-viet-nam-nam-2026/
