Mã trường,Mã ngành xét tuyển,Tên ngành,Phương thức,Tổ hợp,Thang điểm,Điểm
DKB,7340101,Quản trị kinh doanh,THPTQG,A00,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,A01,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,C01,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,C14,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,D07,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,D01,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,D10,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,D84,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,X03,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,X26,30,14.00
DKB,7340101,Quản trị kinh doanh,THPTQG,Y08,30,14.00
DKB,7340101,Quản trị kinh doanh,ĐGNL,,1200,466
DKB,7340115,Marketing,THPTQG,A00,30,14.00
DKB,7340115,Marketing,THPTQG,A01,30,14.00
DKB,7340115,Marketing,THPTQG,C01,30,14.00
DKB,7340115,Marketing,THPTQG,C14,30,14.00
DKB,7340115,Marketing,THPTQG,D07,30,14.00
DKB,7340115,Marketing,THPTQG,D01,30,14.00
DKB,7340115,Marketing,THPTQG,D10,30,14.00
DKB,7340115,Marketing,THPTQG,D84,30,14.00
DKB,7340115,Marketing,THPTQG,X03,30,14.00
DKB,7340115,Marketing,THPTQG,X26,30,14.00
DKB,7340115,Marketing,THPTQG,Y08,30,14.00
DKB,7340115,Marketing,ĐGNL,,1200,466
DKB,7340122,Thương mại điện tử,THPTQG,A00,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,A01,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,C01,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,C14,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,D07,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,D01,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,D10,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,D84,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,X03,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,X26,30,14.00
DKB,7340122,Thương mại điện tử,THPTQG,Y08,30,14.00
DKB,7340122,Thương mại điện tử,ĐGNL,,1200,466
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,A00,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,A01,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,C01,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,C03,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,C14,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,D01,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,X02,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,X03,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,X06,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,X07,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,X26,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,X27,30,14.00
DKB,7510605,Logistics và quản lý chuỗi cung ứng,THPTQG,X56,30,14.00
