UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score
QST,7140103,Công nghệ giáo dục,THPTQG,A00,30,24.25
QST,7140103,Công nghệ giáo dục,THPTQG,A01,30,22.88
QST,7140103,Công nghệ giáo dục,THPTQG,B00,30,23.13
QST,7140103,Công nghệ giáo dục,THPTQG,C01,30,24.25
QST,7140103,Công nghệ giáo dục,THPTQG,D01,30,22.50
QST,7140103,Công nghệ giáo dục,THPTQG,D07,30,22.50
QST,7420101,Sinh học,THPTQG,A00,30,22.10
QST,7420101,Sinh học,THPTQG,B00,30,20.96
QST,7420101,Sinh học,THPTQG,D01,30,20.57
QST,7420101_DKD,Sinh học (CT TCTA),THPTQG,A00,30,21.50
QST,7420101_DKD,Sinh học (CT TCTA),THPTQG,B00,30,20.25
QST,7420101_DKD,Sinh học (CT TCTA),THPTQG,D01,30,20.06
QST,7420201,Công nghệ Sinh học,THPTQG,A00,30,24.72
QST,7420201,Công nghệ Sinh học,THPTQG,B00,30,23.72
QST,7420201,Công nghệ Sinh học,THPTQG,D01,30,22.86
QST,7420201_DKD,Công nghệ Sinh học (CT TCTA),THPTQG,A00,30,24.30
QST,7420201_DKD,Công nghệ Sinh học (CT TCTA),THPTQG,B00,30,23.15
QST,7420201_DKD,Công nghệ Sinh học (CT TCTA),THPTQG,D01,30,22.55
QST,7440102_DKD,Vật lý học (CT TCTA),THPTQG,A00,30,24.40
QST,7440102_DKD,Vật lý học (CT TCTA),THPTQG,A01,30,23.10
QST,7440102_DKD,Vật lý học (CT TCTA),THPTQG,C01,30,24.40
QST,7440102_NN,"Nhóm ngành Vật lý học (CT: 150), Công nghệ Vật lý điện tử và tin học (CT: 60), Công nghệ bán dẫn (CT: 60)",THPTQG,A00,30,26.75
QST,7440102_NN,"Nhóm ngành Vật lý học (CT: 150), Công nghệ Vật lý điện tử và tin học (CT: 60), Công nghệ bán dẫn (CT: 60)",THPTQG,A01,30,25.50
