STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7220201_01,Tiếng Anh thương mại
2,7220201_02,Giảng dạy tiếng Anh
3,7220204_01,Tiếng Trung thương mại
4,7220204_02,Tiếng Trung Văn hóa - Du lịch
5,7220204_03,Tiếng Trung Hành chính văn phòng
6,7220204_04,Giảng dạy tiếng Trung
7,7220209_01,Tiếng Nhật thương mại
8,7220209_02,Ngôn ngữ Văn hóa Nhật Bản
9,7220210_01,Tiếng Hàn thương mại
10,7220210_02,Giảng dạy tiếng Hàn
11,7310106_01,Kinh doanh quốc tế
12,7310106_02,Logistics và quản trị chuỗi cung ứng
13,7310401_01,Tham vấn Tâm lý Học đường
14,7310401_02,Tâm lý học Lâm sàng
15,7310401_03,Tâm lý học Tội phạm
16,7310401_04,Ứng dụng Trí tuệ Nhân tạo (AI) chăm sóc sức khỏe tinh thần
17,7340101_01,Quản trị Kinh doanh
18,7340101_02,Quản trị nhân lực
19,7340101_03,Khởi nghiệp và Phát triển Bền vững
20,7340101_04,Quản trị công nghệ - Đổi mới sáng tạo
21,7340115 _01,Marketing
22,7340115 _02,Digital Marketing
23,7340115 _03,Truyền thông và Quan hệ công chúng
24,7340122_01,Thương mại điện tử
25,7340122_02,Kinh doanh số
26,7340122_03,Phân tích dữ liệu kinh doanh
27,7340201_01,Ngân hàng số
28,7340201_02,Tài chính doanh nghiệp
29,7340205_01,Công nghệ tài chính
30,7340205_02,Khai phá dữ liệu tài chính
31,7340205_03,Phát triển các sản phẩm dịch vụ tài chính
32,7340301_01,Kế toán doanh nghiệp
33,7340301_02,Kế toán số
34,7380101,Luật
35,7380107,Luật Kinh Tế
36,7480106_01,Hệ thống nhúng thông minh
37,7480106_02,AI và IoT ứng dụng
38,7480201_01,Công nghệ phần mềm & Ứng dụng AI
39,7480201_02,Công nghệ Truyền thông đa phương tiện
40,7480201_03,Công nghệ Game
41,7480201_04,Phát triển Web và ứng dụng AI
42,7720802_01,Quản lý chất lượng bệnh viện
43,7720802_02,Quản lý Tài chính bệnh viện
44,7720802_03,Quản lý Trang thiết bị y tế
45,7810103_01,Quản trị lữ hành
46,7810103_02,Quản trị giải trí
47,7810103_03,Quản trị sự kiện
48,7810201_01,Quản trị khách sạn
49,7810201_02,Quản trị nhà hàng - dịch vụ ăn uống
