STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình",, 
1,7340101,Quản trị kinh doanh,,
2,7340115,Marketing,,
3,7340122,Thương mại điện tử,,
4,7510605,Logistics và quản lý chuỗi cung ứng,,
5,7510205,Công nghệ Kỹ thuật ô tô,,
6,7510301,"Công nghệ kỹ thuật điện, điện tử",,
7,7480201,Công nghệ thông tin,,
8,7480103,Kỹ thuật phần mềm,,
9,7340301,Kế toán,,
10,7340201,Tài chính - Ngân hàng,,
11,7380101,Luật,,
12,7380107,Luật kinh tế,,
13,7320108,Quan hệ công chúng,,
14,7810202,Quản trị nhà hàng và dịch vụ ăn uống,,
15,7220201,Ngôn ngữ Anh,,
16,7220210,Ngôn ngữ Hàn Quốc,,
17,7340406,Quản trị văn phòng,,
18,7720201,Dược học,,
