STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7210402,Thiết kế công nghiệp
2,7340101,Quản trị kinh doanh
3,7340115,Marketing
4,7340120,Kinh doanh quốc tế
5,7340201,Tài chính - Ngân hàng
6,7510605,Logistics và Quản lý chuỗi cung ứng
7,7810101,Du lịch
8,7510201,Công nghệ kỹ thuật cơ khí
9,7510203,Công nghệ kỹ thuật cơ điện tử
10,7510301,"Công nghệ kỹ thuật điện, điện tử"
11,7510302,Công nghệ kỹ thuật điện tử - viễn thông
12,7480106,Kỹ thuật máy tính
13,7480201,Công nghệ thông tin
14,7540101,Công nghệ thực phẩm
15,7540106,Đảm bảo chất lượng & an toàn thực phẩm
16,7580201,Kỹ thuật xây dựng
17,7580302,Quản lý xây dựng
18,7380107,Luật kinh tế
