STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7210205,Thanh nhạc
2,7210208,Piano
3,7210235,"Đạo diễn điện ảnh, truyền hình"
4,7210302,"Công nghệ điện ảnh, truyền hình"
5,7220201,Ngôn ngữ Anh
6,7220203,Ngôn ngữ Pháp
7,7220204,Ngôn ngữ Trung Quốc Liên kết quốc tế
8,7220209,Ngôn ngữ Nhật
9,7229030,Văn học
10,7310101,Kinh tế
11,7310206,Quan hệ quốc tế
12,7310301,Xã hội học
13,7310401,Tâm lý học
14,7310608,Đông phương học
15,7310612,Trung Quốc học
16,7310630,Việt Nam học
17,7320104,Truyền thông đa phương tiện
18,7320108,Quan hệ công chúng
19,7340101,Quản trị kinh doanh
20,7340115,Marketing
21,7340121,Kinh doanh thương mại
22,7340122,Thương mại điện tử
23,7340201,Tài chính - Ngân hàng
24,7340205,Công nghệ tài chính
25,7340301,Kế toán
26,7340302,Kiểm toán
27,7340404,Quản trị nhân lực
28,7380101,Luật
29,7380107,Luật Kinh tế
30,7420201,Công nghệ sinh học
31,7480101,Khoa học máy tính
32,7480102,Mạng máy tính và Truyền thông
33,7480201,Công nghệ thông tin
34,7510605,Logistics và Quản lý chuỗi cung ứng
35,7520207,Kỹ thuật Điện tử - Viễn thông
36,7520320,Kỹ thuật môi trường
37,7540101,Công nghệ thực phẩm
38,7580201,Kỹ thuật xây dựng
39,7720301,Điều dưỡng
40,7810101,Du lịch
41,7810103,Quản trị dịch vụ du lịch và lữ hành
42,7810201,Quản trị khách sạn
43,7810202,Quản trị nhà hàng và dịch vụ ăn uống
