STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7220201,Ngôn ngữ Anh
2,7220204,Ngôn ngữ Trung quốc
3,7310401,Tâm lý học
4,7310608,Đông phương học
5,7320104,Truyền thông đa phương tiện
6,7320106,Công nghệ truyền thông
7,7320108,Quan hệ công chúng
8,7340101,Quản trị kinh doanh
9,7340115,Marketing
10,7340120,Kinh doanh quốc tế
11,7340121,Kinh doanh thương mại
12,7340122,Thương mại điện tử
13,7340205,Công nghệ tài chính
14,7340301,Kế toán
15,7380101,Luật
16,7380107,Luật kinh tế
17,7480102,Mạng máy tính & truyền thông dữ liệu
18,7480103,Kỹ thuật phần mềm
19,7480107,Trí tuệ nhân tạo
20,7480201,Công nghệ thông tin
21,7510605,Logistics & quản lý chuỗi cung ứng
22,7720501,Răng - Hàm - Mặt
23,7810103,Quản trị dịch vụ du lịch & lữ hành
24,7810201,Quản trị khách sạn
25,7340201,Tài chính - ngân hàng
