STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7340101,Quản trị kinh doanh
2,7340404,Quản trị nhân lực
3,7310113,Kinh tế thể thao
4,7340115,Marketing
5,7340410,Quản trị Công nghệ truyền thông
6,7340114,Digital Marketing
7,7320104,Truyền thông đa phương tiện
8,7320108,Quan hệ công chúng
9,7220201,Ngôn ngữ Anh
10,7220204,Ngôn ngữ Trung Quốc
11,7220210,Ngôn ngữ Hàn Quốc
12,7340120,Kinh doanh quốc tế
13,7340122,Thương mại điện tử
14,7510605,Logistics và Quản lý chuỗi cung ứng
15,7340412,Quản trị sự kiện
16,7810201,Quản trị khách sạn
17,7810201E,Quản trị khách sạn chương trình Elite
18,7810202,Quản trị nhà hàng và DV Ăn uống
19,7810202E,Quản trị nhà hàng và DV Ăn uống Elite
20,7810103,Quản trị Dịch vụ du lịch và lữ hành
21,7480201,Công nghệ thông tin
22,7480107,Trí tuệ nhân tạo
23,7480103,Kỹ thuật phần mềm
24,7210404,Thiết kế thời trang
25,7210403,Thiết kế đồ họa
26,7210408,Nghệ thuật số
27,7580108,Thiết kế nội thất
28,7340201,Tài chính - Ngân hàng
29,7340301,Kế toán
30,7340205,Công nghệ tài chính
31,7380101,Luật
32,7380107,Luật kinh tế
33,7310401,Tâm lý học
