STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7480101,Khoa học Máy tính
2,7480101TA,Khoa học Máy tính (Chương trình đào tạo bằng tiếng Anh)
3,7480102,Mạng máy tính và truyền thông dữ liệu
4,7480103,Kỹ thuật phần mềm
5,7480103TA,Kỹ thuật phần mềm (Chương trình đào tạo bằng tiếng Anh)
6,7480104,Hệ thống thông tin
7,7480104TT,Hệ thống thông tin (tiên tiến)
8,7480106,Kỹ thuật máy tính
9,7480201,Công nghệ Thông tin
10,7480201VN,Công nghệ Thông tin (Việt Nhật)
11,7480202,An toàn thông tin
12,7480202TA,An toàn thông tin (Chương trình đào tạo bằng tiếng Anh)
13,7480107,Trí tuệ nhân tạo
14,75202A1,Thiết kế vi mạch 
15,75202A1TA,Thiết kế vi mạch (Chương trình đào tạo bằng tiếng Anh)
16,7340122,Thương mại điện tử
17,7460108,Khoa học dữ liệu 
18,7460108TA,Khoa học dữ liệu (Chương trình đào tạo bằng tiếng Anh)
19,7320104,Truyền thông đa phương tiện
20,7480103QT,Kỹ thuật phần mềm
