STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7220201,Ngôn ngữ Anh
2,7340101,Quản trị kinh doanh
3,7340115,Marketing
4,7340122,Thương mại điện tử
5,7340201,Tài chính – Ngân hàng
6,7340301,Kế toán
7,7310101,Kinh tế (Phân tích dữ liệu trong kinh tế)
8,7480201,Công nghệ thông tin
9,7480101,Khoa học máy tính
10,7460108,Khoa học dữ liệu
11,7460112,Toán ứng dụng (Kỹ thuật tài chính và quản trị rủi ro)
12,7460201,Thống kê (Thống kê ứng dụng)
13,7420201,Công nghệ sinh học
14,7540101,Công nghệ thực phẩm
15,7440112,Hóa học (Hóa sinh)
16,7520301,Kỹ thuật hóa học
17,7510605,Logistics và Quản lý chuỗi cung ứng
18,7520118,Kỹ thuật hệ thống công nghiệp
19,7520207,Kỹ thuật điện tử – viễn thông
20,7520216,Kỹ thuật điều khiển và tự động hóa
21,7520212,Kỹ thuật y sinh
22,7520121,Kỹ thuật không gian (Phân tích và ứng dụng dữ liệu lớn)
23,7580201,Kỹ thuật xây dựng
24,7580302,Quản lý xây dựng
25,7220201_WE3,Ngôn ngữ Anh (Chương trình Liên kết với Đại học West of England) (3+1)
26,7220201_WE4,Ngôn ngữ Anh (Chương trình Liên kết với Đại học West of England) (4+0)
27,7340101_AND,Quản trị kinh doanh (Chương trình Liên kết với Đại học Andrews) (4+0)
28,7340101_MQ,Quản trị kinh doanh (Chương trình Liên kết với Đại học Macquarie) (2+1;2+1.5)
29,7340101_SY,Quản trị kinh doanh (Chương trình Liên kết với Đại học Sydney) (2+2)
30,7340101_WE,Quản trị kinh doanh (Chương trình Liên kết với Đại học West of England) (2+2)
31,7340101_WE4,Quản trị kinh doanh (Chương trình Liên kết với Đại học West of England) (4+0)
32,7340201_MQ,Tài chính (Chương trình Liên kết với Đại học Macquarie) (2+1)
33,7340301_MQ,Kế toán (Chương trình Liên kết với Đại học Macquarie) (2+1)
34,7480201_WE4,Công nghệ thông tin (Chương trình Liên kết với Đại học West of England) (4+0)
35,7480201_MQ,Công nghệ thông tin (Chương trình Liên kết với Đại học Macquarie) (2+1)
36,7480201_DK,Công nghệ thông tin (Chương trình Liên kết với Đại học Deakin) (2+2/3+1)
37,7420201_WE2,Công nghệ sinh học (Chương trình Liên kết với Đại học West of England) (2+2)
38,7420201_WE4,Công nghệ sinh học định hướng Y Sinh (Chương trình Liên kết với Đại học West of England) (4+0)
