STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7140101,Giáo dục học
2,7140107,Quản trị chất lượng giáo dục
3,7140114,Quản lý giáo dục
4,7210201_CLC,Ngôn ngữ Anh (Chuẩn Quốc Tế)
5,7210213,Nghệ thuật học
6,7220201,Ngôn ngữ Anh
7,7220201_LKH,"Ngôn ngữ Anh (Liên kết ĐH Minnesota Crookston, Hoa Kỳ)"
8,7220202,Ngôn ngữ Nga
9,7220203,Ngôn ngữ Pháp
10,7220204,Ngôn ngữ Trung Quốc
11,7220204_CLC,Ngôn ngữ Trung Quốc (Chuẩn Quốc Tế)
12,7220204_LKH,"Ngôn ngữ Trung Quốc (Liên kết ĐH Sư phạm Quảng Tây, Trung Quốc)"
13,7220205,Ngôn ngữ Đức
14,7220205_CLC,Ngôn ngữ Đức (Chuẩn Quốc Tế)
15,7220206,Ngôn ngữ Tây Ban Nha
16,7220208,Ngôn ngữ Italia
17,7229001,Triết học
18,7229009,Tôn giáo học
19,7229010,Lịch sử
20,7229020,Ngôn ngữ học
21,7229030,Văn học
22,7229040,Văn hóa học
23,7310206,Quan hệ quốc tế
24,7310206_CLC,Quan hệ quốc tế (Chuẩn Quốc Tế)
25,7310301,Xã hội học
26,7310302,Nhân học
27,7310401,Tâm lý học 
28,7310403,Tâm lý học giáo dục
29,7310501,Địa lý học
30,7310601,Quốc tế học
31,7310608,Đông phương học
32,7310613,Nhật Bản học
33,7310613_CLC,Nhật Bản học (Chuẩn Quốc tế)
34,7310614,Hàn Quốc học
35,7310630,Việt Nam học
36,7310630_LKH,"Quan hệ quốc tế (Liên kết ĐH Deakin, Úc)"
37,73106a1,Kinh doanh thương mại Hàn Quốc
38,7320101,Báo chí
39,7320101_CLC,Báo chí (Chuẩn Quốc tế)
40,7320101_LKH,"Truyền thông (chuyên ngành Báo chí) (Liên kết ĐH Deakin, Úc)"
41,7320104,Truyền thông đa phương tiện
42,7320201,Thông tin - Thư viện
43,7320205,Quản lý thông tin
44,7320303,Lưu trữ học
45,7340406,Quản trị văn phòng
46,7580112,Đô thị học
47,7760101,Công tác xã hội
48,7810103,Quản trị dịch vụ du lịch và lữ hành
49,7810103_CLC,Quản trị DV du lịch và lữ hành (Chuẩn Quốc Tế)
