STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7140114,Quản lý giáo dục
2,7140201,Giáo dục Mầm non
3,7140202,Giáo dục Tiểu học
4,7140205,Giáo dục chính trị
5,7140209,Sư phạm Toán học
6,7140211,Sư phạm Vật lý
7,7140212,Sư phạm Hoá học
8,7140213,Sư phạm Sinh học
9,7140217,Sư phạm Ngữ văn
10,7140218,Sư phạm Lịch sử
11,7140219,Sư phạm Địa lý
12,7140221,Sư phạm Âm nhạc
13,7140222,Sư phạm Mỹ thuật
14,7140231,Sư phạm Tiếng Anh
15,7140247,"Sư phạm Khoa học tự nhiên
(đào tạo giáo viên THCS)"
16,7140249,"Sư phạm Lịch sử - Địa lý
(đào tạo giáo viên THCS)"
17,7220201,Ngôn ngữ Anh
18,7220201CLC,Ngôn ngữ Anh (Chương trình đào tạo chất lượng cao)
19,7229010,Lịch sử
20,7310401,Tâm lý học
21,7310501,Địa lý học
22,7310601,Quốc tế học
23,7310630,Việt Nam học
24,7320201,Thông tin - Thư viện
25,7340101,Quản trị kinh doanh
26,7340101CLC,Quản trị kinh doanh (Chương trình đào tạo chất lượng cao)
27,7340120,Kinh doanh quốc tế
28,7340201,Tài chính - Ngân hàng
29,7340301,Kế toán
30,7340301CLC,Kế toán (Chương trình đào tạo chất lượng cao)
31,7340302,Kiểm toán
32,7340406,Quản trị văn phòng
33,7380101,Luật
34,7440301,Khoa học môi trường
35,7460108,Khoa học dữ liệu
36,7460112,Toán ứng dụng
37,7480103,Kỹ thuật phần mềm
38,7480107,Trí tuệ nhân tạo
39,7480201,Công nghệ thông tin
40,7480201CLC,Công nghệ thông tin (Chương trình đào tạo chất lượng cao)
41,7510301,"Công nghệ kỹ thuật điện, điện tử"
42,7510302,Công nghệ kỹ thuật điện tử - viễn thông
43,7510406,Công nghệ kỹ thuật môi trường
44,7520201,Kỹ thuật điện
45,7520207,"Kỹ thuật điện tử - viễn thông
(thiết kế vi mạch)"
46,7810101,Du lịch
47,7810202,Quản trị nhà hàng và dịch vụ ăn uống
