STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7720101,Y khoa
2,7720110,Y học dự phòng
3,7720115,Y học cổ truyền
4,7720201,Dược học
5,7720203,Hóa dược
6,7720301,Điều dưỡng
7,7720301_03,Điều dưỡng chuyên ngành Gây mê hồi sức
8,7720302,Hộ sinh
9,7720401,Dinh dưỡng
10,7720501,Răng - Hàm - Mặt
11,7720502,Kỹ thuật phục hình răng
12,7720601,Kỹ thuật xét nghiệm y học
13,7720602,Kỹ thuật hình ảnh y học
14,7720603,Kỹ thuật phục hồi chức năng
15,7720701,Y tế công cộng
16,7760101,Công tác xã hội
