No.,Name,OldName,EnglishName,ShortName,Code,Type,IsFinanciallyAutonomous,ImageUrl,HasDormitory
1,"Trường Đại học Khoa học tự nhiên, Đại học Quốc gia TP.HCM",,VNUHCM-University of Science,HCMUS,QST,0,1,/universities-logo/hcmus.png,1
2,"Trường Đại học Công nghệ Thông tin, Đại học Quốc gia TP.HCM",,University of Information Technology,UIT,QSC,0,1,/universities-logo/uit.svg,1
3,"Trường Đại học Bách Khoa, Đại học Quốc gia TP.HCM ",,Ho Chi Minh City University of Technology,HCMUT,QSB,0,1,/universities-logo/hcmut.png,1
4,"Trường Đại học Quốc tế, Đại học Quốc gia TP.HCM",,VNU-HCM International University,HCMIU,QSQ,0,1,/universities-logo/iu.png,1
5,"Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia TP.HCM",,"University of Social Sciences and Humanities, Vietnam National University Ho Chi Minh City",HCMUSSH,QSX,0,1,/universities-logo/ussh.png,1
6,"Trường Đại học Kinh tế - Luật, Đại học Quốc gia TP.HCM",,VNU-HCM University of Economics and Law,UEL,QSK,0,1,/universities-logo/uel.png,1
7,"Trường Đại học Khoa học Sức khỏe, Đại học Quốc gia TP.HCM",Khoa Y - Đại học Quốc gia TP.HCM,"University of Health Sciences, Viet Nam National University Ho Chi Minh City",QSY,QSY,0,1,/universities-logo/uhs.svg,1
8,Trường Đại học Y khoa Phạm Ngọc Thạch,,Pham Ngoc Thach University of Medicine,PNT,TYS,0,1,/universities-logo/pnt.png,0
9,Đại học Kinh tế TP. Hồ Chí Minh,,University of Economics Ho Chi Minh City,UEH,KSA,0,1,"/universities-logo/ueh.png
",1
10,Phân hiệu Trường Đại học Ngoại thương tại TP.HCM,,"Foreign Trade University, Ho Chi Minh City Branch",FTU2,NTS,0,1,/universities-logo/ftu.png,0
11,Trường Đại học Y Dược Thành phố Hồ Chí Minh,,University of Medicine and Pharmacy at Ho Chi Minh City,UMP,YDS,0,1,/universities-logo/ump.svg,1
12,Trường Đại Học Công nghệ Kỹ Thuật TP.HCM,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh ,Ho Chi Minh City University of Technology and Engineering,HCMUTE,UTE,0,1,/universities-logo/hcmute.png,1
13,Trường Đại học Tôn Đức Thắng,,Ton Duc Thang University,TDTU,DTT,0,1,/universities-logo/tdtu.png,1
14,Trường Đại học Việt - Đức,,Vietnamese–German University,VGU,VGU,0,1,/universities-logo/vgu.avif,1
15,Trường Đại học Công nghiệp TP.HCM,,Industrial University of Ho Chi Minh City,IUH,IUH,0,1,/universities-logo/iuh.png,1
16,Học Viện Công Nghệ Bưu Chính Viễn Thông cơ sở tại TP.HCM ,,Posts and Telecommunications Institute of Technology,PTIT,BVS,0,1,/universities-logo/ptit.jpg,1
17,Trường Đại học Sài Gòn,,Saigon University,SGU,SGD,0,1,/universities-logo/sgu.png,1
18,Trường Đại học Giao thông Vận tải TP.HCM,,Ho Chi Minh City University of Transport,UTH,GTS,0,1,/universities-logo/uth.png,1
19,Phân hiệu trường ĐH GTVT tại TP.HCM,,University of Transport and Communications - Campus in Ho Chi Minh City ,UTC2,GSA,0,0,/universities-logo/utc.png,1
20,Học viện Kỹ thuật Mật mã ,,Vietnam Academy of Cryptography Techniques,KMA,KMA,0,0,/universities-logo/kma.png,0
21,Trường Đại học Ngân hàng TP.HCM,,Ho Chi Minh University of Banking,HUB,NHS,0,1,/universities-logo/hub.jpg,1
22,Trường Đại học Luật TP.HCM,,Ho Chi Minh City University of Law,ULAW,LPS,0,1,/universities-logo/ulaw.webp,1
23,Trường Đại học Công Thương TP.HCM,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh,Ho Chi Minh City University of Industry and Trade,HUIT,DCT,0,1,/universities-logo/huit.png,1
24,Trường Đại học Kiến trúc TP.HCM,,University of Architecture Ho Chi Minh City,UAH,KTS,0,1,/universities-logo/uah.webp,1
