MajorCode,OldCode,MajorName,EnrollmentQuota,TuitionFeeMin,TuitionFeeMax,TuitionFeeUnit,Note,TuitionSourceUrl,QuotaSourceUrl
7210402,,Thiết kế công nghiệp,250,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7340101,,Quản trị kinh doanh,200,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7340115,,Marketing,150,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7340120,,Kinh doanh quốc tế,50,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7340201,,Tài chính – Ngân hàng,100,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7510605,,Logistics và Quản lý chuỗi cung ứng,150,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7810101,,Du lịch,100,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7380107,,Luật Kinh tế,100,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7480106,,Kỹ thuật Máy tính,100,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7480201,,Công nghệ thông tin,500,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7510201,,Công nghệ Kỹ thuật Cơ khí,100,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7510203,,Công nghệ kỹ thuật cơ điện tử,80,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7510301,,"Công nghệ kỹ thuật điện, điện tử",100,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7510302,,Công nghệ kỹ thuật điện tử – viễn thông,90,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7540101,,Công nghệ thực phẩm,200,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7540106,,Đảm bảo chất lượng và An toàn thực phẩm,50,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7580201,,Kỹ thuật xây dựng,200,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7580302,,Quản lý Xây dựng,50,21.025.500,26.482.500,PerSemester,,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7510205,,Công nghệ kỹ thuật Ô tô,50,21.025.500,26.482.500,PerSemester,Ngành dự kiến mở 2026,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7480109,,Khoa học dữ liệu,50,21.025.500,26.482.500,PerSemester,Ngành dự kiến mở 2026,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7580205,,Kỹ thuật Xây dựng Công trình giao thông,50,21.025.500,26.482.500,PerSemester,Ngành dự kiến mở 2026,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7580105,,Quy hoạch vùng và đô thị,50,21.025.500,26.482.500,PerSemester,Ngành dự kiến mở 2026,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
7320104,,Truyền thông đa phương tiện,50,21.025.500,26.482.500,PerSemester,Ngành dự kiến mở 2026,http://daotao3.stu.edu.vn/thongtintuyensinh/#hocphi,http://daotao3.stu.edu.vn/thongtintuyensinh/#nganh
