UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,Note,SourceUrl
QST,7440102_NN,"Nhóm ngành Vật lý học, Công nghệ Vật lý điện tử và tin học, Công nghệ bán dẫn",THPTQG,A00,30,25.10,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440102_NN,"Nhóm ngành Vật lý học, Công nghệ Vật lý điện tử và tin học, Công nghệ bán dẫn",THPTQG,A01,30,25.10,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440102_NN,"Nhóm ngành Vật lý học, Công nghệ Vật lý điện tử và tin học, Công nghệ bán dẫn",THPTQG,A02,30,25.10,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440102_NN,"Nhóm ngành Vật lý học, Công nghệ Vật lý điện tử và tin học, Công nghệ bán dẫn",THPTQG,D90,30,25.10,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440102_DKD,Vật lý học (CT tăng cường tiếng Anh),THPTQG,A00,30,23.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440102_DKD,Vật lý học (CT tăng cường tiếng Anh),THPTQG,A01,30,23.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440102_DKD,Vật lý học (CT tăng cường tiếng Anh),THPTQG,A02,30,23.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440102_DKD,Vật lý học (CT tăng cường tiếng Anh),THPTQG,D90,30,23.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440228,Hải dương học,THPTQG,A00,30,20.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440228,Hải dương học,THPTQG,A01,30,20.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440228,Hải dương học,THPTQG,B00,30,20.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440228,Hải dương học,THPTQG,D07,30,20.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440112,Hóa học,THPTQG,A00,30,25.42,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440112,Hóa học,THPTQG,B00,30,25.42,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440112,Hóa học,THPTQG,D07,30,25.42,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440112,Hóa học,THPTQG,D90,30,25.42,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440112_DKD,Hóa học (CT tăng cường tiếng Anh),THPTQG,A00,30,24.65,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440112_DKD,Hóa học (CT tăng cường tiếng Anh),THPTQG,B00,30,24.65,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440112_DKD,Hóa học (CT tăng cường tiếng Anh),THPTQG,D07,30,24.65,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440112_DKD,Hóa học (CT tăng cường tiếng Anh),THPTQG,D90,30,24.65,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440122,Khoa học Vật liệu,THPTQG,A00,30,22.30,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440122,Khoa học Vật liệu,THPTQG,A01,30,22.30,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440122,Khoa học Vật liệu,THPTQG,B00,30,22.30,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440122,Khoa học Vật liệu,THPTQG,D07,30,22.30,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440122_DKD,Khoa học Vật liệu (CT tăng cường tiếng Anh),THPTQG,A00,30,22.30,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440122_DKD,Khoa học Vật liệu (CT tăng cường tiếng Anh),THPTQG,A01,30,22.30,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440122_DKD,Khoa học Vật liệu (CT tăng cường tiếng Anh),THPTQG,B00,30,22.30,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440122_DKD,Khoa học Vật liệu (CT tăng cường tiếng Anh),THPTQG,D07,30,22.30,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440201_NN,Nhóm ngành Địa chất học,THPTQG,A00,30,19.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440201_NN,Nhóm ngành Địa chất học,THPTQG,B00,30,19.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440201_NN,Nhóm ngành Địa chất học,THPTQG,C04,30,19.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440201_NN,Nhóm ngành Địa chất học,THPTQG,D07,30,19.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301,Khoa học Môi trường,THPTQG,A00,30,19.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301,Khoa học Môi trường,THPTQG,B00,30,19.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301,Khoa học Môi trường,THPTQG,B08,30,19.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301,Khoa học Môi trường,THPTQG,D07,30,19.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301_DKD,Khoa học Môi trường (CT tăng cường tiếng Anh),THPTQG,A00,30,18.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301_DKD,Khoa học Môi trường (CT tăng cường tiếng Anh),THPTQG,B00,30,18.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301_DKD,Khoa học Môi trường (CT tăng cường tiếng Anh),THPTQG,B08,30,18.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301_DKD,Khoa học Môi trường (CT tăng cường tiếng Anh),THPTQG,D07,30,18.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
