UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,SourceUrl
QST,7140103,Công nghệ giáo dục,THPTQG,A00,30,24.25,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7140103,Công nghệ giáo dục,THPTQG,A01,30,22.88,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7140103,Công nghệ giáo dục,THPTQG,B00,30,23.13,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7140103,Công nghệ giáo dục,THPTQG,C01,30,24.25,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7140103,Công nghệ giáo dục,THPTQG,D01,30,22.50,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7140103,Công nghệ giáo dục,THPTQG,D07,30,22.50,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420101,Sinh học,THPTQG,A00,30,22.10,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420101,Sinh học,THPTQG,B00,30,20.96,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420101,Sinh học,THPTQG,D01,30,20.57,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420101_DKD,Sinh học (CT TCTA),THPTQG,A00,30,21.50,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420101_DKD,Sinh học (CT TCTA),THPTQG,B00,30,20.25,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420101_DKD,Sinh học (CT TCTA),THPTQG,D01,30,20.06,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420201,Công nghệ Sinh học,THPTQG,A00,30,24.72,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420201,Công nghệ Sinh học,THPTQG,B00,30,23.72,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420201,Công nghệ Sinh học,THPTQG,D01,30,22.86,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420201_DKD,Công nghệ Sinh học (CT TCTA),THPTQG,A00,30,24.30,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420201_DKD,Công nghệ Sinh học (CT TCTA),THPTQG,B00,30,23.15,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420201_DKD,Công nghệ Sinh học (CT TCTA),THPTQG,D01,30,22.55,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440102_DKD,Vật lý học (CT TCTA),THPTQG,A00,30,24.40,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440102_DKD,Vật lý học (CT TCTA),THPTQG,A01,30,23.10,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
