UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score
QST,7420101,Sinh học,THPTQG,A02,30,
QST,7420101,Sinh học,THPTQG,B00,30,
QST,7420101,Sinh học,THPTQG,B03,30,
QST,7420101,Sinh học,THPTQG,B08,30,
QST,7420101,Sinh học,THPTQG,X15,30,
QST,7420101,Sinh học,THPTQG,X16,30,
QST,7420101,Sinh học,ĐGNL,,1200,
QST,7420101_DKD,Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,A02,30,
QST,7420101_DKD,Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,B00,30,
QST,7420101_DKD,Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,B03,30,
QST,7420101_DKD,Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,B08,30,
QST,7420101_DKD,Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,X15,30,
QST,7420101_DKD,Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,X16,30,
QST,7420101_DKD,Sinh học (Chương trình tăng cường tiếng Anh),ĐGNL,,1200,
QST,7420201,Công nghệ Sinh học,THPTQG,A02,30,
QST,7420201,Công nghệ Sinh học,THPTQG,B00,30,
QST,7420201,Công nghệ Sinh học,THPTQG,B03,30,
QST,7420201,Công nghệ Sinh học,THPTQG,B08,30,
QST,7420201,Công nghệ Sinh học,THPTQG,X15,30,
QST,7420201,Công nghệ Sinh học,THPTQG,X16,30,
QST,7420201,Công nghệ Sinh học,ĐGNL,,1200,
QST,7420201_DKD,Công nghệ Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,A02,30,
QST,7420201_DKD,Công nghệ Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,B00,30,
QST,7420201_DKD,Công nghệ Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,B03,30,
QST,7420201_DKD,Công nghệ Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,B08,30,
QST,7420201_DKD,Công nghệ Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,X15,30,
QST,7420201_DKD,Công nghệ Sinh học (Chương trình tăng cường tiếng Anh),THPTQG,X16,30,
QST,7420201_DKD,Công nghệ Sinh học (Chương trình tăng cường tiếng Anh),ĐGNL,,1200,
QST,7440102_DKD,Vật lý học (Chương trình tăng cường tiếng Anh),THPTQG,A00,30,
QST,7440102_DKD,Vật lý học (Chương trình tăng cường tiếng Anh),THPTQG,A01,30,
QST,7440102_DKD,Vật lý học (Chương trình tăng cường tiếng Anh),THPTQG,A02,30,
QST,7440102_DKD,Vật lý học (Chương trình tăng cường tiếng Anh),THPTQG,A03,30,
QST,7440102_DKD,Vật lý học (Chương trình tăng cường tiếng Anh),THPTQG,C01,30,
QST,7440102_DKD,Vật lý học (Chương trình tăng cường tiếng Anh),THPTQG,X06,30,
QST,7440102_DKD,Vật lý học (Chương trình tăng cường tiếng Anh),ĐGNL,,1200,
