UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,SourceUrl
QSY,7720101,Y khoa,THPTQG,B00,30,26.40,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720201,Dược học,THPTQG,A00,30,25.31,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720201,Dược học,THPTQG,B00,30,25.31,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720501,Răng – Hàm – Mặt,THPTQG,B00,30,26.33,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720115,Y học cổ truyền,THPTQG,B00,30,24.24,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720301,Điều dưỡng,THPTQG,B00,30,22.60,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720101,Y khoa,ĐGNL,,1200,943,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720201,Dược học,ĐGNL,,1200,925,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720501,Răng – Hàm – Mặt,ĐGNL,,1200,937,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720115,Y học cổ truyền,ĐGNL,,1200,835,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
QSY,7720301,Điều dưỡng,ĐGNL,,1200,746,https://www.uhsvnu.edu.vn/tuyen-sinh-dao-tao/thong-tin-tuyen-sinh/diem-chuan-hang-nam/diem-chuan-nam-2024-03022026
