UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score
QSY,7720101,Y khoa,ĐGNL,,1200,896
QSY,7720101,Y khoa,THPTQG,B00,30,25.60
QSY,7720101,Y khoa,THPTQG,A02,30,25.60
QSY,7720201,Dược học,ĐGNL,,1200,709
QSY,7720201,Dược học,THPTQG,B00,30,21.50
QSY,7720201,Dược học,THPTQG,A00,30,21.50
QSY,7720501,Răng - Hàm - Mặt,ĐGNL,,1200,867
QSY,7720501,Răng - Hàm - Mặt,THPTQG,B00,30,25.00
QSY,7720501,Răng - Hàm - Mặt,THPTQG,A02,30,25.00
QSY,7720301,Điều dưỡng,ĐGNL,,1200,559
QSY,7720301,Điều dưỡng,THPTQG,B00,30,18.00
QSY,7720301,Điều dưỡng,THPTQG,A02,30,18.00
QSY,7720115,Y học cổ truyền,ĐGNL,,1200,652
QSY,7720115,Y học cổ truyền,THPTQG,B00,30,20.10
QSY,7720115,Y học cổ truyền,THPTQG,A02,30,20.10
